Class,Tools,Room,Number,BTU,Power,amount,PowerHr,time,SumPower
5,AIR,501,1872,38000,3.3,1,2.906,39,140.547
5,AIR,502,1873,38000,3.3,1,3.066,39,116.491
5,AIR,503,1874,38000,3.3,1,3.366,39,112.763
5,AIR,502,1869,38000,3.3,1,3.84,39,134.076
5,AIR,503,1870,38000,3.3,1,3.912,39,149.723
5,AIR,504,1871,38000,3.3,1,2.786,39,143.424
5,AIR,503,1866,38000,3.3,1,2.706,36,96.68
5,AIR,504,1867,38000,3.3,1,2.7,36,110.317
5,AIR,505,1868,38000,3.3,1,2.713,36,115.776
5,AIR,504,1863,38000,3.3,1,3.528,30,91.162
5,AIR,505,1864,38000,3.3,1,2.857,30,84.954
5,AIR,506,1865,38000,3.3,1,2.927,30,101.754
5,AIR,505,18632,38000,3.3,1,2.664,40,149.735
5,AIR,506,1860,38000,3.3,1,2.688,15,63.786
5,AIR,507,1861,38000,3.3,1,2.807,15,43.855
5,AIR,507,1859,38000,3.3,1,3.814,50,186.972
5,AIR,508,1857,38000,3.3,1,3.338,36,138.923
5,AIR,509,1858,38000,3.3,1,3.524,36,99.244
5,AIR,509,1855,38000,3.3,1,2.972,47,176.072
5,AIR,510,1856,38000,3.3,1,3.46,47,140.013
5,PC,0,0,0,0.5,211,106.114,40,4207.365
5,lamp,0,0,0,0.02,284,7.329,40,258.15
5,AIR,501,1872,38000,3.3,1,3.676,39,146.554
5,AIR,502,1873,38000,3.3,1,3.712,39,145.97
5,AIR,503,1874,38000,3.3,1,3.344,39,112.953
5,AIR,502,1869,38000,3.3,1,3.526,39,152.064
5,AIR,503,1870,38000,3.3,1,3.763,39,126.699
5,AIR,504,1871,38000,3.3,1,3.574,39,118.658
5,AIR,503,1866,38000,3.3,1,2.994,36,118.331
5,AIR,504,1867,38000,3.3,1,3.157,36,129.211
5,AIR,505,1868,38000,3.3,1,3.86,36,127.886
5,AIR,504,1863,38000,3.3,1,3.692,30,97.67
5,AIR,505,1864,38000,3.3,1,2.961,30,83.666
5,AIR,506,1865,38000,3.3,1,3.162,30,75.983
5,AIR,505,18632,38000,3.3,1,3.692,40,123.476
5,AIR,506,1860,38000,3.3,1,3.769,15,59.584
5,AIR,507,1861,38000,3.3,1,3.856,15,49.88
5,AIR,507,1859,38000,3.3,1,2.748,50,145.953
5,AIR,508,1857,38000,3.3,1,3.853,36,134.699
5,AIR,509,1858,38000,3.3,1,3.161,36,123.852
5,AIR,509,1855,38000,3.3,1,3.746,47,139.34
5,AIR,510,1856,38000,3.3,1,3.383,47,165.991
5,PC,0,0,0,0.5,211,105.584,40,4239.106
5,lamp,0,0,0,0.02,284,6.569,40,290.212
5,AIR,501,1872,38000,3.3,1,3.657,39,124.838
5,AIR,502,1873,38000,3.3,1,3.562,39,105.619
5,AIR,503,1874,38000,3.3,1,3.04,39,123.997
