Class,Tools,Room,Number,BTU,Power,amount,PowerHr,time,SumPower
2,AIR,201,1928,38000,3.3,1,2.928,120,382.71
2,AIR,202,1925,38000,3.3,1,3.951,36,98.209
2,AIR,202,1926,38000,3.3,1,3.616,36,113.874
2,AIR,202,1927,38000,3.3,1,3.74,36,129.96
2,AIR,203,1917,38000,3.3,1,2.791,40,129.057
2,AIR,204,1919,38000,3.3,1,3.368,20,51.186
2,AIR,204,1920,38000,3.3,1,3.33,20,82.986
2,AIR,205,1923,38000,3.3,1,3.661,36,129.929
2,AIR,205,1924,38000,3.3,1,3.222,36,113.649
2,AIR,206,1921,38000,3.3,1,2.738,34,94.249
2,AIR,206,1922,38000,3.3,1,3.8,34,111.28
2,AIR,207,1941,38000,3.3,1,3.628,40,110.232
2,AIR,208,1918,38000,3.3,1,2.725,40,128.625
2,AIR,209,1916,38000,3.3,1,2.683,40,137.967
2,AIR,210,1913,38000,3.3,1,3.73,38,123.028
2,AIR,210,1914,38000,3.3,1,3.217,38,120.95
2,AIR,210,1915,38000,3.3,1,2.946,38,120.962
2,AIR,211,1894,38000,3.3,1,3.862,40,139.927
2,PC,0,0,0,0.5,220,109.772,40,4395.889
2,lamp,0,0,0,0.024,282,7.061,40,272.081
2,AIR,201,1928,38000,3.3,1,3.393,120,397.714
2,AIR,202,1925,38000,3.3,1,3.946,36,117.011
2,AIR,202,1926,38000,3.3,1,3.873,36,115.981
2,AIR,202,1927,38000,3.3,1,3.775,36,119.527
2,AIR,203,1917,38000,3.3,1,3.115,40,129.998
2,AIR,204,1919,38000,3.3,1,3.356,20,66.794
2,AIR,204,1920,38000,3.3,1,3.675,20,69.996
2,AIR,205,1923,38000,3.3,1,3.478,36,121.034
2,AIR,205,1924,38000,3.3,1,3.371,36,114.862
2,AIR,206,1921,38000,3.3,1,3.24,34,108.562
2,AIR,206,1922,38000,3.3,1,3.165,34,116.022
2,AIR,207,1941,38000,3.3,1,3.073,40,135.788
2,AIR,208,1918,38000,3.3,1,2.968,40,128.013
2,AIR,209,1916,38000,3.3,1,2.778,40,135.542
2,AIR,210,1913,38000,3.3,1,2.944,38,125.5
2,AIR,210,1914,38000,3.3,1,2.756,38,123.576
2,AIR,210,1915,38000,3.3,1,3.806,38,129.216
2,AIR,211,1894,38000,3.3,1,3.531,40,134.604
2,PC,0,0,0,0.5,220,110.23,40,4402.441
2,lamp,0,0,0,0.024,282,6.894,40,271.664
2,AIR,201,1928,38000,3.3,1,3.661,120,397.97
2,AIR,202,1925,38000,3.3,1,2.77,36,116.812
2,AIR,202,1926,38000,3.3,1,3.738,36,118.023
2,AIR,202,1927,38000,3.3,1,3.802,36,117.13
2,AIR,203,1917,38000,3.3,1,3.196,40,131.853
2,AIR,204,1919,38000,3.3,1,3.739,20,64.41
2,AIR,204,1920,38000,3.3,1,3.345,20,62.726
2,AIR,205,1923,38000,3.3,1,3.865,36,116.155
2,AIR,205,1924,38000,3.3,1,3.351,36,117.421
2,AIR,206,1921,38000,3.3,1,3.256,34,112.99
2,AIR,206,1922,38000,3.3,1,3.349,34,111.061
2,AIR,207,1941,38000,3.3,1,2.684,40,134.283
2,AIR,208,1918,38000,3.3,1,2.858,40,131.563
2,AIR,209,1916,38000,3.3,1,3.455,40,131.881
2,AIR,210,1913,38000,3.3,1,3.37,38,128.042
2,AIR,210,1914,38000,3.3,1,2.848,38,124.932
2,AIR,210,1915,38000,3.3,1,2.945,38,128.951
2,AIR,211,1894,38000,3.3,1,2.829,40,129.247
2,PC,0,0,0,0.5,220,109.785,40,4397.703
2,lamp,0,0,0,0.024,282,6.504,40,268.885
2,AIR,201,1928,38000,3.3,1,3.645,120,395.863
2,AIR,202,1925,38000,3.3,1,3.4,36,115.944
2,AIR,202,1926,38000,3.3,1,3.615,36,119.064
2,AIR,202,1927,38000,3.3,1,2.969,36,118.06
2,AIR,203,1917,38000,3.3,1,2.843,40,131.629
2,AIR,204,1919,38000,3.3,1,3.745,20,68.228
2,AIR,204,1920,38000,3.3,1,3.083,20,63.681
2,AIR,205,1923,38000,3.3,1,3.265,36,117.38
2,AIR,205,1924,38000,3.3,1,2.963,36,116.719
2,AIR,206,1921,38000,3.3,1,2.885,34,111.584
2,AIR,206,1922,38000,3.3,1,3.565,34,113.241
2,AIR,207,1941,38000,3.3,1,2.835,40,129.093
2,AIR,208,1918,38000,3.3,1,2.844,40,132
2,AIR,209,1916,38000,3.3,1,3.471,40,129.095
