Class,Tools,Room,Number,BTU,Power,amount,PowerHr,time,SumPower
3,AIR,301,0,38000,3.3,1,2.786,40,112.792
3,AIR,302,1892,38000,3.3,1,3.538,40,129.455
3,AIR,302,1893,38000,3.3,1,3.712,40,125.775
3,AIR,303,1890,38000,3.3,1,3.047,51,153.483
3,AIR,303,1891,38000,3.3,1,3.065,51,167.236
3,AIR,304,1888,38000,3.3,1,2.827,35,108.998
3,AIR,304,1889,38000,3.3,1,2.852,35,125.331
3,AIR,305,1886,38000,3.3,1,3.012,40,150.127
3,AIR,305,1887,38000,3.3,1,3.457,40,113.083
3,AIR,306,1884,38000,3.3,1,3.766,36,128.77
3,AIR,306,1885,38000,3.3,1,3.072,36,135.146
3,AIR,307,18851,38000,3.3,1,3.748,39,130.188
3,AIR,307,1882,38000,3.3,1,3.917,39,135.411
3,AIR,307,1883,38000,3.3,1,3.686,39,112.549
3,AIR,308,1940,38000,3.3,1,3.475,40,134.204
3,AIR,309,1878,38000,3.3,1,3.068,36,115.199
3,AIR,309,1879,38000,3.3,1,3.076,36,113.795
3,AIR,309,1880,38000,3.3,1,3.06,36,111.299
3,AIR,310,1875,38000,3.3,1,3.836,53,161.467
3,AIR,310,1876,38000,3.3,1,3.737,53,171.187
3,AIR,310,1877,38000,3.3,1,3.916,53,167.776
3,PC,0,0,0,0.5,135,67.113,40,2679.346
3,lamp,0,0,0,0.024,284,7.458,40,254.246
3,AIR,301,0,38000,3.3,1,2.759,40,131.231
3,AIR,302,1892,38000,3.3,1,3.479,40,116.003
3,AIR,302,1893,38000,3.3,1,2.716,40,123.095
3,AIR,303,1890,38000,3.3,1,3.355,51,190.046
3,AIR,303,1891,38000,3.3,1,2.752,51,181.346
3,AIR,304,1888,38000,3.3,1,3.622,35,137.017
3,AIR,304,1889,38000,3.3,1,3.928,35,131.9
3,AIR,305,1886,38000,3.3,1,3.41,40,155.291
3,AIR,305,1887,38000,3.3,1,3.659,40,145.74
3,AIR,306,1884,38000,3.3,1,3.11,36,100.522
3,AIR,306,1885,38000,3.3,1,3.884,36,131.289
3,AIR,307,18851,38000,3.3,1,3.027,39,118.974
3,AIR,307,1882,38000,3.3,1,2.801,39,105.941
3,AIR,307,1883,38000,3.3,1,3.583,39,144.613
3,AIR,308,1940,38000,3.3,1,2.669,40,114.849
3,AIR,309,1878,38000,3.3,1,3.716,36,103.167
3,AIR,309,1879,38000,3.3,1,3.643,36,110.011
3,AIR,309,1880,38000,3.3,1,3.185,36,127.923
3,AIR,310,1875,38000,3.3,1,3.371,53,169.026
3,AIR,310,1876,38000,3.3,1,2.915,53,185.52
3,AIR,310,1877,38000,3.3,1,3.488,53,162.614
3,PC,0,0,0,0.5,135,67.308,40,2716.401
3,lamp,0,0,0,0.024,284,7.167,40,285.024
3,AIR,301,0,38000,3.3,1,3.818,40,111.823
3,AIR,302,1892,38000,3.3,1,2.924,40,126.655
3,AIR,302,1893,38000,3.3,1,3.483,40,121.716
3,AIR,303,1890,38000,3.3,1,2.661,51,191.888
3,AIR,303,1891,38000,3.3,1,3.541,51,166.36
3,AIR,304,1888,38000,3.3,1,3.658,35,124.232
3,AIR,304,1889,38000,3.3,1,3.281,35,95.741
3,AIR,305,1886,38000,3.3,1,3.275,40,149.876
3,AIR,305,1887,38000,3.3,1,3.599,40,115.795
3,AIR,306,1884,38000,3.3,1,3.074,36,108.14
3,AIR,306,1885,38000,3.3,1,3.942,36,145.056
3,AIR,307,18851,38000,3.3,1,3.344,39,109.201
3,AIR,307,1882,38000,3.3,1,3.819,39,153.412
3,AIR,307,1883,38000,3.3,1,3.852,39,123.493
3,AIR,308,1940,38000,3.3,1,2.79,40,105.956
3,AIR,309,1878,38000,3.3,1,3.345,36,142.384
