Class,Tools,Room,Number,BTU,Power,amount,PowerHr,time,SumPower
2,AIR,201,1928,38000,3.3,1,3.3,120,396
2,AIR,202,1925,38000,3.3,1,3.3,36,118.8
2,AIR,202,1926,38000,3.3,1,3.3,36,118.8
2,AIR,202,1927,38000,3.3,1,3.3,36,118.8
2,AIR,203,1917,38000,3.3,1,3.3,40,132
2,AIR,204,1919,38000,3.3,1,3.3,20,66
2,AIR,204,1920,38000,3.3,1,3.3,20,66
2,AIR,205,1923,38000,3.3,1,3.3,36,118.8
2,AIR,205,1924,38000,3.3,1,3.3,36,118.8
2,AIR,206,1921,38000,3.3,1,3.3,34,112.2
2,AIR,206,1922,38000,3.3,1,3.3,34,112.2
2,AIR,207,1941,38000,3.3,1,3.3,40,132
2,AIR,208,1918,38000,3.3,1,3.3,40,132
2,AIR,209,1916,38000,3.3,1,3.3,40,132
2,AIR,210,1913,38000,3.3,1,3.3,38,125.4
2,AIR,210,1914,38000,3.3,1,3.3,38,125.4
2,AIR,210,1915,38000,3.3,1,3.3,38,125.4
2,AIR,211,1894,38000,3.3,1,3.3,40,132
2,PC,0,0,0,0.5,220,110,40,4400
2,lamp,0,0,0,0.024,282,6.768,40,270.72
