Class,Tools,Room,Number,BTU,Power,amount,PowerHr,time,SumPower
1,AIR,101,0,38000,3.3,1,3.3,40,132
1,AIR,102,1943,38000,3.3,1,3.3,40,132
1,AIR,103,1929,38000,3.3,1,3.3,20,66
1,AIR,103,1930,38000,3.3,1,3.3,20,66
1,AIR,103,1931,38000,3.3,1,3.3,20,66
1,AIR,103,1932,38000,3.3,1,3.3,20,66
1,AIR,103,1933,38000,3.3,1,3.3,20,66
1,AIR,103,1934,38000,3.3,1,3.3,20,66
1,AIR,103,1935,38000,3.3,1,3.3,20,66
1,AIR,103,1936,38000,3.3,1,3.3,20,66
1,AIR,104,1945,38000,3.3,1,3.3,40,132
1,AIR,105,1942,38000,3.3,1,3.3,40,132
1,AIR,106,1944,38000,3.3,1,3.3,40,132
1,AIR,107,0,38000,3.3,1,3.3,40,132
1,PC,101,0,0,0.5,2,1,40,40
1,PC,0,0,0,0.5,2,1,40,40
1,PC,0,0,0,0.5,3,1.5,40,60
1,PC,0,0,0,0.5,3,1.5,40,60
1,PC,0,0,0,0.5,4,2,40,80
1,lamp,0,0,0,0.024,160,3.84,40,153.6
