Class,Tools,Room,Number,BTU,Power,amount,PowerHr,time,SumPower
1,AIR,101,0,38000,3.3,1,3.255,40,153.699
1,AIR,102,1943,38000,3.3,1,3.312,40,137.615
1,AIR,103,1929,38000,3.3,1,3.858,20,64.301
1,AIR,103,1930,38000,3.3,1,3.355,20,72.558
1,AIR,103,1931,38000,3.3,1,2.876,20,81.534
1,AIR,103,1932,38000,3.3,1,3.275,20,72.646
1,AIR,103,1933,38000,3.3,1,3.564,20,81.303
1,AIR,103,1934,38000,3.3,1,2.833,20,62.858
1,AIR,103,1935,38000,3.3,1,3.76,20,45.188
1,AIR,103,1936,38000,3.3,1,3.149,20,56.994
1,AIR,104,1945,38000,3.3,1,2.811,40,138.314
1,AIR,105,1942,38000,3.3,1,3.138,40,110.199
1,AIR,106,1944,38000,3.3,1,3.241,40,139.053
1,AIR,107,0,38000,3.3,1,3.631,40,114.051
1,PC,101,0,0,0.5,2,1.004,40,46.172
1,PC,0,0,0,0.5,2,1.482,40,37.718
1,PC,0,0,0,0.5,3,1.524,40,54.273
1,PC,0,0,0,0.5,3,0.967,40,58.95
1,PC,0,0,0,0.5,4,1.453,40,70.774
1,lamp,0,0,0,0.024,160,3.786,40,144.435
1,AIR,101,0,38000,3.3,1,3.225,40,131.567
1,AIR,102,1943,38000,3.3,1,3.755,40,119.718
1,AIR,103,1929,38000,3.3,1,3.937,20,74.83
1,AIR,103,1930,38000,3.3,1,3.757,20,84.195
1,AIR,103,1931,38000,3.3,1,3.305,20,66.052
1,AIR,103,1932,38000,3.3,1,3.035,20,46.323
1,AIR,103,1933,38000,3.3,1,2.807,20,70.349
1,AIR,103,1934,38000,3.3,1,2.687,20,64.081
1,AIR,103,1935,38000,3.3,1,2.704,20,65.788
1,AIR,103,1936,38000,3.3,1,3.477,20,90.244
1,AIR,104,1945,38000,3.3,1,3.062,40,133.415
1,AIR,105,1942,38000,3.3,1,2.652,40,108.122
1,AIR,106,1944,38000,3.3,1,3.915,40,143.636
1,AIR,107,0,38000,3.3,1,2.673,40,133.445
1,PC,101,0,0,0.5,2,0.993,40,24.001
1,PC,0,0,0,0.5,2,0.367,40,18.872
1,PC,0,0,0,0.5,3,1.823,40,79.512
1,PC,0,0,0,0.5,3,1.51,40,72.359
1,PC,0,0,0,0.5,4,1.59,40,98.36
1,lamp,0,0,0,0.024,160,3.492,40,178.959
1,AIR,101,0,38000,3.3,1,3.459,40,156.276
1,AIR,102,1943,38000,3.3,1,3.752,40,129.23
1,AIR,103,1929,38000,3.3,1,3.123,20,47.551
1,AIR,103,1930,38000,3.3,1,3.703,20,70.807
1,AIR,103,1931,38000,3.3,1,2.797,20,44.735
1,AIR,103,1932,38000,3.3,1,3.12,20,82.797
1,AIR,103,1933,38000,3.3,1,3.47,20,80.596
1,AIR,103,1934,38000,3.3,1,3.118,20,46.329
1,AIR,103,1935,38000,3.3,1,3.486,20,71.394
1,AIR,103,1936,38000,3.3,1,3.124,20,46.627
1,AIR,104,1945,38000,3.3,1,3.556,40,115.877
1,AIR,105,1942,38000,3.3,1,3.26,40,107.896
1,AIR,106,1944,38000,3.3,1,3.006,40,117.876
1,AIR,107,0,38000,3.3,1,3.777,40,143.935
1,PC,101,0,0,0.5,2,0.433,40,16.663
1,PC,0,0,0,0.5,2,0.773,40,37.731
1,PC,0,0,0,0.5,3,0.918,40,37.093
1,PC,0,0,0,0.5,3,1.858,40,52.664
1,PC,0,0,0,0.5,4,2.559,40,97.719
1,lamp,0,0,0,0.024,160,4.089,40,177.348
1,AIR,101,0,38000,3.3,1,2.955,40,121.437
1,AIR,102,1943,38000,3.3,1,3.65,40,146.106
1,AIR,103,1929,38000,3.3,1,3.118,20,92.051
1,AIR,103,1930,38000,3.3,1,3.36,20,68.004
