Class,Tools,Room,Number,BTU,Power,amount,PowerHr,time,SumPower
5,AIR,501,1872,38000,3.3,1,3.3,39,128.7
5,AIR,502,1873,38000,3.3,1,3.3,39,128.7
5,AIR,503,1874,38000,3.3,1,3.3,39,128.7
5,AIR,502,1869,38000,3.3,1,3.3,39,128.7
5,AIR,503,1870,38000,3.3,1,3.3,39,128.7
5,AIR,504,1871,38000,3.3,1,3.3,39,128.7
5,AIR,503,1866,38000,3.3,1,3.3,36,118.8
5,AIR,504,1867,38000,3.3,1,3.3,36,118.8
5,AIR,505,1868,38000,3.3,1,3.3,36,118.8
5,AIR,504,1863,38000,3.3,1,3.3,30,99
5,AIR,505,1864,38000,3.3,1,3.3,30,99
5,AIR,506,1865,38000,3.3,1,3.3,30,99
5,AIR,505,18632,38000,3.3,1,3.3,40,132
5,AIR,506,1860,38000,3.3,1,3.3,15,49.5
5,AIR,507,1861,38000,3.3,1,3.3,15,49.5
5,AIR,507,1859,38000,3.3,1,3.3,50,165
5,AIR,508,1857,38000,3.3,1,3.3,36,118.8
5,AIR,509,1858,38000,3.3,1,3.3,36,118.8
5,AIR,509,1855,38000,3.3,1,3.3,47,155.1
5,AIR,510,1856,38000,3.3,1,3.3,47,155.1
5,PC,0,0,0,0.5,211,105.5,40,4220
5,lamp,0,0,0,0.02,284,6.816,40,272.64
